Line,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC111420,0.355468308,2.715681709,0.764024055,-5.892593764,-7.752549035,4.729448919,3.485957637,2.463682222,-0.098082992,1.376943847,-0.072157523,5.59435187,0.210413782,3.460999708,-25.07600967,-1.242638627,0.355049251,-0.245905181,-1.451316248,-1.662784476,-157.6616453,47.25797941,-0.053431539
GPC111430,0.910035547,1.362416043,-0.043500862,-0.554028494,-1.179763195,5.204062532,4.011644689,2.87246126,-0.353610484,0.840051455,-0.024522788,5.021436122,0.260196228,3.450051662,-33.63327476,-2.133464227,0.10802833,-0.390568394,-8.30734586,-1.670496828,-230.8440901,58.3408399,-0.045054057
GPC111440,0.590531652,-1.700177617,1.052922505,-3.262469245,-0.578657337,4.314718649,4.648888372,3.370623356,-0.231800941,0.745922672,-0.158543659,6.510110124,0.311073286,2.984800495,-30.25596401,-1.671653792,-0.121289133,-0.384499612,9.417977995,-1.649244522,-197.9722283,16.14387241,-0.041758693
GPC111450,0.600722937,2.039573149,0.055968714,-4.804758318,-6.237593485,5.321191144,-0.541665093,0.450384903,-0.214819191,2.802740915,-0.133231305,3.924438207,0.276194838,4.46822402,-36.28657781,-1.998221175,0.200928734,-0.490266845,7.24478734,-2.016769404,-238.5117922,-1.946200553,-0.062924565
GPC111470,1.023332822,-0.139149766,1.160001502,-6.84534821,-10.17499076,6.517350491,0.859835085,1.148994669,-0.257687534,1.854240399,-0.049170432,3.472359298,0.420514326,4.42863816,-39.44199098,-2.17144291,0.535627852,-0.547235405,6.568891088,-2.025833566,-315.2297395,-30.01389668,-0.053513553
GPC111480,0.771911293,-0.522128874,-0.182457659,-2.621815549,-4.203617385,6.559080782,-1.298222037,-0.191816101,-0.271780741,1.972344525,-0.04780189,0.107792898,0.278736154,3.734866069,-34.19195128,-1.869183341,0.24028506,-0.409905043,-3.959487494,-1.932450047,-164.157985,-8.266446236,-0.066248313
GPC111490,0.28371519,1.890454207,-0.231225384,-0.83432652,-4.472892791,2.411565226,-1.721169414,-0.98865176,0.065755967,1.46503653,0.103947189,-0.847942323,0.044869471,0.9360447,-22.81157482,-0.963573246,0.17160251,-0.191268138,10.46547379,-1.15899349,-132.5850454,0.478975866,-0.00665624
GPC111500,0.231563558,-3.320326754,2.718666816,-6.869403816,-8.553171103,4.764375997,1.936569539,1.63052194,-0.05940461,1.055338969,-0.036556302,0.496302435,0.278531634,3.31319003,-29.56095579,-1.44785276,0.377359167,-0.302492703,-5.305886248,-1.752723217,-196.6121597,7.154540925,-0.050016473
GPC111510,0.391171179,0.301391373,0.451836089,-4.76659495,-5.513536103,5.4038339,1.515050531,1.511795916,-0.17221226,3.367020895,-0.103284232,3.882290634,0.321768671,4.567164564,-41.76730738,-2.277230841,0.305639275,-0.356004792,4.464609304,-2.256663224,-232.2701524,-0.431099493,-0.065990784
GPC111520,0.987950534,2.603879922,1.511276124,-5.684298033,-9.772233355,6.393809956,3.519249181,2.507746532,-0.36399194,-0.669540708,-0.016853453,1.448418781,0.38444593,2.643597228,-40.86672819,-2.020154886,0.463129779,-0.55546,11.01643474,-2.164986436,-254.8120228,-5.528428051,-0.05573317
GPC111530,0.495566029,3.7638244,1.239377386,-5.993903114,-8.075433904,6.248104937,-0.077027467,0.52158538,-0.232614019,1.714330923,-0.068695048,4.834208084,0.321147569,4.085013648,-36.35436706,-2.055173671,0.483407827,-0.47949251,10.46663561,-2.126318989,-213.3531162,12.90777368,-0.061488517
GPC111540,0.543900164,-3.069270474,0.721810739,-3.725741741,-3.199857966,5.688643707,2.837407196,2.166700414,-0.310398588,2.461646599,-0.072966324,4.445781315,0.315431111,4.101333958,-34.69873297,-2.041817724,0.171218924,-0.531903034,0.723931991,-1.985453145,-276.3880551,2.787140398,-0.065541265
GPC111550,0.75681638,-0.838241096,1.254596875,-6.23706774,-9.099481655,6.898934522,-0.520503555,0.096649966,-0.175582084,1.891674763,-0.024821827,2.98665571,0.314417293,4.199553645,-31.24183253,-1.829941858,0.469778841,-0.344619481,-0.683221676,-1.925278004,-220.0013182,13.30054851,-0.059524032
GPC111560,0.530103734,2.94944789,0.737008811,-3.655207643,-6.572194887,5.572074309,3.675417064,2.84370573,-0.238402041,0.61132255,-0.021379708,1.691165294,0.319423113,3.116399986,-44.81183588,-2.294062647,0.328723366,-0.621886282,15.61111972,-2.349643983,-261.0898728,-37.86027268,-0.051902641
GPC111570,0.427770286,-0.733348921,1.039882254,-3.273502352,-3.530677347,6.786092728,0.741994164,0.973222755,-0.042853534,1.408227441,-0.022575128,1.667173427,0.236777805,4.01932875,-33.90404198,-1.657857602,0.009350635,-0.349785043,1.777910503,-1.73734041,-206.8894677,-21.31665001,-0.050707424
GPC111580,0.98297102,-1.971919693,1.882144417,-6.739927469,-9.317200362,4.387541446,1.185844221,1.103071873,-0.124860775,2.850899023,-0.163452116,3.351455363,0.244735746,4.127043629,-32.99494213,-1.874194091,0.468086873,-0.389360103,5.034370824,-2.043997512,-205.7551422,28.16790034,-0.055075187
GPC111590,0.603313961,-2.398484076,0.938642392,-4.343459993,-5.225019923,5.406615978,2.747414402,2.242276648,-0.1471458,0.702698363,-0.053491475,3.40412664,0.204915996,3.391523895,-32.73927401,-1.779355802,0.214457463,-0.394584055,-3.669839745,-1.969915868,-225.4230647,-17.63332438,-0.060955979
GPC111600,0.422830916,6.958585654,-0.118339034,-4.813076377,-8.239840777,3.746334995,1.619512999,1.718522561,-0.079185169,3.890987624,-0.053893132,3.264181344,0.230748425,4.857410623,-34.88727807,-1.960664531,0.326751517,-0.389386816,7.442583573,-2.144495549,-181.0309233,18.49597239,-0.057897219
GPC111610,0.334855274,2.334068538,1.872478191,-6.744658684,-8.236307549,4.315227751,-0.724170303,0.151124419,-0.220306285,4.785849466,-0.035240655,3.121835571,0.309205444,5.217438482,-44.80463918,-2.409586595,0.399099767,-0.463246299,14.22241372,-2.227676751,-206.5860463,-1.579408129,-0.059721551
GPC111620,0.609340611,-3.185619295,1.935633207,-5.528385728,-5.770877265,6.360952518,1.006898106,1.300081501,-0.146640369,2.548300718,0.012859393,0.819463225,0.313631625,4.515495134,-37.34711698,-2.060138227,0.148136748,-0.409123216,2.279831057,-2.143770826,-192.1287829,31.43368588,-0.067173789
GPC111630,0.437813757,2.578117569,0.770442564,-5.464642342,-6.919224776,6.199934279,3.792241953,2.871664038,-0.422375579,2.357782177,-0.123671095,7.578029927,0.370444078,4.701584958,-37.83606495,-2.196543716,0.289434145,-0.533817365,10.6505918,-2.068153662,-220.5954613,32.94286121,-0.068699651
GPC111640,0.240455319,7.234298568,-0.27388751,-3.799303977,-5.330755259,5.60145584,1.427370218,1.664031646,0.089879099,1.4650062,-0.093038679,5.752425342,0.174850294,2.790803255,-22.68263333,-1.195246766,0.187491904,-0.264012363,10.55826865,-1.50327644,-99.89876238,-13.22404521,-0.051313701
GPC111650,0.668473935,-11.03652079,1.732897409,-3.961854795,-2.514684941,5.887869175,-0.678841466,0.563018024,-0.343591802,2.000973991,0.03233039,-1.508290378,0.326493858,3.735777387,-42.48073149,-2.205496247,-0.028795487,-0.473855042,-3.361403189,-2.251388199,-181.4627235,6.049596671,-0.055907704
GPC111660,0.382328333,2.071146202,0.788628528,-3.45295525,-5.094055063,7.155006744,0.19133177,0.737477217,0.0761714,2.930148183,-0.04770279,6.051215228,0.321148433,5.035764261,-39.04871708,-2.037991348,0.152103228,-0.357386568,4.394489754,-2.025826857,-176.3427973,23.91526464,-0.055336543
GPC111670,0.575921921,1.462665656,1.514778617,-5.17842332,-4.73757818,5.946988038,4.763035767,3.708637903,-0.335689771,0.958311323,-0.029695692,3.482503309,0.299933774,3.857964732,-42.4101114,-2.078664844,0.123647714,-0.463134657,4.118961558,-2.057125297,-235.1558755,3.82530853,-0.04936746
GPC111680,0.450885828,-0.436181159,0.397890564,-5.189597318,-7.796497512,6.784781231,2.515937356,1.711628601,-0.217297692,2.569894076,-0.045393157,4.304878456,0.220477683,3.939936776,-35.39900546,-1.990350415,0.25722298,-0.460545101,7.372731781,-1.995275848,-169.1426865,55.3861373,-0.061021068
GPC111690,0.543204656,0.107254444,0.532025992,-5.749389655,-8.846209687,6.351157561,2.533263183,1.803827391,-0.229821268,2.984523949,-0.048347803,3.981888345,0.202047305,4.141059416,-32.99485635,-1.895076844,0.336368919,-0.471319108,8.900502446,-1.945579834,-170.0861835,53.8219957,-0.060515086
