Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC016200,Core,0.411233121,4.829023595,1.920009659,-6.836369613,-5.717066039,-10.25266043,-1.087349061,-4.243686263,0.0965035,-0.069482321,-0.164265675,4.205623488,-0.116751498,-0.399661013,14.25169875,0.26216486,0.415302335,0.09473764,26.53624072,0.718932807,70.33194418,-14.43773939,0.015260891
GPC016270,Core,0.107460379,9.086733174,-0.622153719,-1.396457092,-4.339991656,0.222179561,0.054666353,0.54324959,-0.290549511,-1.024003624,-0.224346113,8.494370324,-0.024603028,1.504039405,-1.096828743,-0.543023319,0.330732006,-0.268236237,20.76201224,-0.347777951,-120.5892435,23.80339692,0.001062384
GPC016300,Core,-0.110010094,0.106493026,1.174521424,-2.86614258,-4.707414841,-3.469291183,-0.584136911,-1.622340007,0.140050629,0.506234701,-0.054337037,0.902761226,-0.297645004,-0.43194379,21.4265036,0.847325415,0.246950122,0.082560941,-0.945434091,0.708422574,14.3527831,-13.42846764,0.01057529
GPC016360,Core,0.337315438,-3.125702124,1.043296291,1.706030675,-0.161415256,1.315380341,0.023415354,-0.631843128,-0.544308306,-3.488392172,-0.1244514,2.424487661,0.058800317,-0.350170722,-6.717528488,-0.892545871,0.066609774,-0.20980203,-1.61097151,-0.365794222,-204.2814014,43.54339463,-0.00027703
GPC016420,Core,-0.942624552,-1.978206172,2.29497747,-6.614293524,-7.153704761,-6.085505024,-0.941287956,-1.285156039,0.369919611,1.954073629,-0.069591462,1.94858179,-0.580176932,-1.430421952,31.42021985,1.629071993,0.361170222,0.349408527,3.909972219,1.141413269,106.7695506,-18.3962849,0.024885235
GPC016550,Core,-0.351739147,-2.468842163,0.768250587,2.744472846,3.659345858,-5.076398943,-0.028579959,1.511742996,-0.062753141,-0.971064858,-0.033424101,-0.149643708,-0.148404698,-0.269080923,15.52881308,0.467694803,-0.30727584,0.103492948,-3.177261308,0.446048702,-24.4502555,9.34521812,0.031086853
GPC016620,Core,-1.264407904,-3.312002038,2.605009659,12.28863037,12.50126729,-1.595160448,-0.594188598,0.519563731,0.788811192,1.820464766,0.270051371,-1.533387495,-1.005640387,-2.74669805,78.12094522,3.35711195,-1.584697663,0.421126529,-25.33668232,3.053067422,284.0002775,-32.45273939,0.059825546
GPC016690,Core,-1.887484825,6.24569026,4.533342986,-10.47636961,-9.580399367,-6.470160439,-1.489351565,-3.850936266,0.404195808,3.918001718,0.097651921,-1.102068814,-1.005640387,-1.287247219,36.01818659,2.038269585,0.53068695,0.226682084,14.89408693,0.90575973,104.0836108,-27.72107272,0.023762173
GPC016720,Core,-1.143528782,-0.0459764,3.498342988,-7.586369614,-8.030399366,-5.08741044,-1.15934048,-3.180936265,0.788811192,4.990415504,-0.007088243,5.70729573,-0.732913114,-1.25430387,41.96232452,2.110683378,0.338379258,0.198904307,9.217163816,1.08575973,323.8602773,-23.57773938,0.026743648
GPC016730,Core,-1.248337255,-0.604980908,2.765474059,-2.785251326,-2.438113701,-6.085708433,-0.890280142,-0.697302918,0.613647722,0.147225411,-0.033544419,5.433134803,-0.641484119,-2.550004222,52.1502701,2.69876617,-0.092967319,0.531846306,-0.247983696,1.862857913,202.5694182,-16.53394765,0.057253119
